material_family,scenario_family,scenario_id,variant,current_a,leg,signed_branch_current_a,temperature_minimum_k,temperature_maximum_k,c1_minimum,c1_maximum,c0_minimum,c0_maximum,integrating_factor_ratio,positive_c0_supremum,poincare_eta,coercivity_margin_lower_bound,liouville_potential_minimum,liouville_potential_maximum,liouville_poincare_eta,liouville_coercivity_margin_lower_bound,at_least_one_analytic_sufficient_condition_passes,homogeneous_shooting_determinant,homogeneous_shooting_determinant_absolute,baseline_energy_residual_fraction
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.35,n,3.35,309.894134846523,377.5556831583262,-0.6071976981689852,-0.46845192242566563,0.9209212684978674,1.856895343245735,1.7795202749525976,1.856895343245735,0.3348039878281369,0.6651960121718631,1.062995059659328,1.858687745580605,0.18832444240373528,0.8116755575962648,True,0.9906191250658452,0.9906191250658452,6.789146431886285e-17
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.3,p,-3.3,309.894134846523,391.62663413574035,-0.6739831464401552,-0.5113741025374837,1.6816868838670487,3.913790518659771,1.9019514282704284,3.913790518659771,0.7542186256314992,0.24578137436850078,1.8945218533917376,3.8050963182367625,0.38553686283685035,0.6144631371631497,True,0.7228141219902225,0.7228141219902225,0.0
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.3,n,3.3,309.894134846523,376.0844382998651,-0.5283839930796703,-0.3970434866629946,0.8936362320286723,1.8018747858502313,1.633517363693671,1.8018747858502313,0.2982281386641283,0.7017718613358717,1.0036243592354857,1.8477173021545412,0.1872129040907252,0.8127870959092748,True,0.9528484709056685,0.9528484709056685,7.006478298714815e-17
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.3,p,-3.3,309.894134846523,391.10714129486024,-0.6170061142801319,-0.44873396648260294,1.6816868838670487,3.8922124760302332,1.7778568109431565,3.8922124760302332,0.7011219679062826,0.29887803209371744,1.859561026312899,3.804100721676468,0.3854359878149311,0.6145640121850688,True,0.6975177522606214,0.6975177522606214,1.1970776549210927e-16
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.3,n,3.3,309.894134846523,376.4551024154577,-0.5964187481138203,-0.4614601026879691,0.8936362320286723,1.8018741347189295,1.7617975510495296,1.8018741347189295,0.32164789071960276,0.6783521092803972,1.0294650858502665,1.8004946352721989,0.18242824758745843,0.8175717524125415,True,0.994230827200411,0.994230827200411,1.3856713131848848e-16
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.25,p,-3.25,309.894134846523,389.3712150293221,-0.6598187951855675,-0.5036260100747946,1.6311127374513963,3.7053722271954785,1.8793794366756629,3.7053722271954785,0.7055804960380838,0.2944195039619162,1.8322752249848697,3.600273387229597,0.36478396103011146,0.6352160389698885,True,0.7460978470722244,0.7460978470722244,2.4274953944658354e-16
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.25,n,3.25,309.894134846523,375.03952965073114,-0.5177974591792252,-0.3910276762590099,0.8667614968597659,1.7476886790425148,1.6183689825876642,1.7476886790425148,0.2865773575554688,0.7134226424445311,0.9719622305390833,1.788154585816742,0.18117793917042657,0.8188220608295734,True,0.9567318519197974,0.9567318519197974,7.149608311258568e-17
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.25,p,-3.25,309.894134846523,388.8750729356914,-0.6028110860685382,-0.4419349669904423,1.6311127374513963,3.685479286398669,1.757138041565642,3.685479286398669,0.6561454332271434,0.34385456677285664,1.7993542033852081,3.600774198885968,0.36483470385991684,0.6351652961400831,True,0.7199715278066248,0.7199715278066248,0.0
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.25,n,3.25,309.894134846523,375.398728086744,-0.5858046618181085,-0.45446828295027264,0.8667614968597659,1.7476899396896144,1.7443977978341318,1.7476899396896144,0.3088944964962257,0.6911055035037743,0.9966030872330339,1.743362935402779,0.17663959613319002,0.82336040386681,True,0.9977451262721452,0.9977451262721452,7.070875488410674e-17
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.2,p,-3.2,309.894134846523,387.2698445518364,-0.6464068960572878,-0.4958779176121055,1.581310715408502,3.5107549820141997,1.8576585284169602,3.5107549820141997,0.6607948676039302,0.33920513239606975,1.7715569842329273,3.4091704443991473,0.3454211846649963,0.6545788153350037,True,0.7678485359770131,0.7678485359770131,2.490852312482506e-16
PbSe/Cr,signed_current_sweep,nominal_transport,original,-3.2,n,3.2,309.894134846523,374.03848674160207,-0.5074041956899569,-0.38501186585502517,0.8402970629911484,1.6943242975045452,1.6035476409434637,1.6943242975045452,0.2752825361426567,0.7247174638573433,0.940906479674664,1.7297528683923202,0.17526060803423882,0.8247393919657612,True,0.9605155657681373,0.9605155657681373,1.4592334794903015e-16
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.2,p,-3.2,309.894134846523,386.7951617850814,-0.5892777788851841,-0.4351359674982817,1.581310715408502,3.4924290224208825,1.7372382600468548,3.4924290224208825,0.6147339925375253,0.38526600746247475,1.7405376413234228,3.411011416338122,0.3456077141209055,0.6543922858790945,True,0.7409780511915578,0.7409780511915578,0.0
PbSe/Cr,signed_current_sweep,nominal_transport,alpha_preserving_flattened,-3.2,n,3.2,309.894134846523,374.38598722091257,-0.5753435680483208,-0.4474764632125762,0.8402970629911484,1.6943280499387796,1.7273051116891405,1.6943280499387796,0.29652875460890016,0.7034712453910998,0.9643992275827195,1.6872874068337822,0.17095795720520954,0.8290420427947904,True,1.0011440145167918,1.0011440145167918,1.443366140423566e-16
